kills,assists,deaths,total_gold,gold_per_min,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,xp_per_min,rank_tier
1.0,1.0,5.0,6810.0,317.0,0.07,4024.0,0.0,29.0,284.0,4.0
5.0,6.0,2.0,9646.0,449.0,0.09,5346.0,1.0,1490.0,433.0,5.0
8.0,8.0,5.0,8722.0,406.0,0.04,12609.0,2.0,359.0,390.0,4.0
1.0,5.0,4.0,5530.0,248.0,0.04,7979.0,0.0,0.0,314.0,5.0
2.0,3.0,6.0,6110.0,274.0,0.05,6181.0,0.0,0.0,359.0,5.0
3.0,0.0,2.0,6801.0,305.0,0.08,2455.0,0.0,0.0,378.0,5.0
1.0,4.0,6.0,3835.0,172.0,0.01,4700.0,0.0,0.0,175.0,5.0
1.0,9.0,2.0,8853.0,397.0,0.05,7601.0,0.0,926.0,384.0,5.0
2.0,7.0,1.0,10971.0,492.0,0.08,4254.0,0.0,11057.0,430.0,5.0
1.0,10.0,4.0,8340.0,374.0,0.04,7929.0,0.0,1679.0,297.0,5.0
2.0,6.0,2.0,11809.0,483.0,0.08,4566.0,0.0,11234.0,399.0,5.0
2.0,5.0,4.0,7335.0,300.0,0.01,8451.0,0.0,132.0,320.0,5.0
16.0,5.0,2.0,18117.0,741.0,0.12,19344.0,0.0,7099.0,785.0,5.0
8.0,7.0,3.0,7897.0,323.0,0.0,8892.0,0.0,370.0,298.0,5.0
2.0,9.0,5.0,7335.0,300.0,0.02,9403.0,0.0,20.0,377.0,5.0
6.0,4.0,5.0,9877.0,404.0,0.07,11817.0,0.0,0.0,465.0,5.0
1.0,1.0,5.0,5721.0,268.0,0.07,4791.0,0.0,0.0,314.0,5.0
3.0,12.0,3.0,6106.0,286.0,0.02,4914.0,0.0,2152.0,338.0,4.0
4.0,7.0,0.0,9778.0,458.0,0.08,6758.0,0.0,3720.0,536.0,4.0
12.0,6.0,0.0,12724.0,596.0,0.1,12289.0,0.0,3798.0,587.0,3.0
2.0,5.0,1.0,12318.0,577.0,0.16,5702.0,0.0,834.0,531.0,5.0
0.0,0.0,4.0,3900.0,212.0,0.03,2025.0,0.0,0.0,267.0,4.0
0.0,3.0,2.0,4250.0,231.0,0.04,3579.0,0.0,0.0,243.0,4.0
3.0,0.0,3.0,3385.0,184.0,0.01,3952.0,0.0,44.0,182.0,3.0
2.0,0.0,4.0,4324.0,235.0,0.03,3563.0,0.0,0.0,201.0,5.0
2.0,4.0,1.0,4728.0,257.0,0.01,3008.0,0.0,1216.0,158.0,4.0
3.0,3.0,1.0,6918.0,376.0,0.07,4160.0,0.0,2927.0,374.0,4.0
8.0,3.0,5.0,9975.0,423.0,0.03,10968.0,0.0,2105.0,428.0,4.0
14.0,4.0,4.0,14032.0,595.0,0.09,26702.0,0.0,2248.0,598.0,4.0
5.0,3.0,1.0,12192.0,517.0,0.09,12112.0,0.0,5712.0,620.0,4.0
6.0,5.0,13.0,9268.0,393.0,0.02,10564.0,0.0,0.0,694.0,5.0
2.0,5.0,8.0,4410.0,187.0,0.01,3980.0,0.0,0.0,116.0,4.0
