kda,gold_efficiency,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,rune_pickups,teamfight_participation,xp_per_min,rank_tier
1.83,24.45,0.02,9403.0,0.0,20.0,0,0,377.0,5.0
1.67,24.45,0.07,11817.0,0.0,0.0,0,0,465.0,5.0
0.33,21.35,0.07,4791.0,0.0,0.0,0,0,314.0,5.0
3.75,21.35,0.02,4914.0,0.0,2152.0,0,0,338.0,4.0
11.0,21.35,0.08,6758.0,0.0,3720.0,0,0,536.0,4.0
18.0,21.35,0.1,12289.0,0.0,3798.0,0,0,587.0,3.0
3.5,21.35,0.16,5702.0,0.0,834.0,0,0,531.0,5.0
0.0,18.4,0.03,2025.0,0.0,0.0,0,0,267.0,4.0
1.0,18.4,0.04,3579.0,0.0,0.0,0,0,243.0,4.0
0.75,18.4,0.01,3952.0,0.0,44.0,0,0,182.0,3.0
0.4,18.4,0.03,3563.0,0.0,0.0,0,0,201.0,5.0
3.0,18.4,0.01,3008.0,0.0,1216.0,0,0,158.0,4.0
3.0,18.4,0.07,4160.0,0.0,2927.0,0,0,374.0,4.0
1.83,23.58,0.03,10968.0,0.0,2105.0,0,0,428.0,4.0
3.6,23.58,0.09,26702.0,0.0,2248.0,0,0,598.0,4.0
4.0,23.58,0.09,12112.0,0.0,5712.0,0,0,620.0,4.0
0.79,23.58,0.02,10564.0,0.0,0.0,0,0,694.0,5.0
0.78,23.58,0.01,3980.0,0.0,0.0,0,0,116.0,4.0
0.6,23.58,0.03,7928.0,0.0,0.0,0,0,303.0,5.0
1.14,23.58,0.07,5064.0,0.0,104.0,0,0,293.0,4.0
0.25,23.58,0.05,3331.0,0.0,0.0,0,0,260.0,4.0
8.33,23.65,0.05,13357.0,0.0,589.0,4.0,0.69,473.0,6.0
9.0,23.65,0.07,13295.0,0.0,2358.0,1.0,0.5,560.0,6.0
3.5,23.65,0.03,9530.0,7.0,1641.0,4.0,0.58,406.0,4.0
0.4,23.65,0.01,940.0,1.0,87.0,0.0,0.09,80.0,5.0
0.7,23.65,0.01,8048.0,2.0,0.0,5.0,0.55,316.0,4.0
1.38,24.41,0.06,10771.0,7.0,2012.0,6.0,0.61,312.0,7.0
1.0,24.42,0.14,12095.0,2.0,754.0,6.0,0.33,578.0,7.0
0.4,24.41,0.06,11766.0,1.0,116.0,0.0,0.33,273.0,6.0
1.22,24.41,0.03,7368.0,1.0,0.0,2.0,0.61,310.0,6.0
5.5,24.42,0.12,12881.0,1.0,2308.0,1.0,0.49,613.0,6.0
7.0,24.42,0.12,17322.0,0.0,13195.0,3.0,0.47,692.0,6.0
5.0,24.41,0.07,14288.0,0.0,2059.0,2.0,0.44,551.0,7.0
2.67,24.41,0.04,10224.0,8.0,290.0,3.0,0.36,401.0,6.0
3.67,20.33,0.09,12009.0,0.0,5270.0,0,0,498.0,5.0
2.0,20.33,0.05,7371.0,0.0,2544.0,0,0,304.0,4.0
1.5,20.33,0.04,5536.0,0.0,0.0,0,0,299.0,3.0
0.86,20.33,0.04,2924.0,0.0,17.0,0,0,275.0,4.0
1.0,20.33,0.01,5907.0,0.0,15.0,0,0,261.0,4.0
4.0,23.1,0.07,15151.0,0.0,92.0,0,0,501.0,4.0
5.0,23.1,0.11,12765.0,0.0,3272.0,0,0,542.0,5.0
1.8,23.1,0.01,3582.0,0.0,126.0,0,0,314.0,5.0
2.0,23.1,0.06,7907.0,0.0,2381.0,0,0,351.0,4.0
1.67,23.1,0.02,4924.0,0.0,0.0,0,0,254.0,5.0
0.88,23.1,0.07,5195.0,0.0,76.0,0,0,424.0,4.0
1.5,23.1,0.07,6377.0,0.0,717.0,0,0,409.0,5.0
1.6,23.1,0.05,8452.0,0.0,0.0,0,0,420.0,5.0
1.44,25.48,0.04,19961.0,0.0,0.0,0,0,651.0,3.0
2.83,25.48,0.09,14720.0,0.0,3536.0,0,0,624.0,4.0
0.5,25.75,0.01,6002.0,0.0,0.0,0,0,148.0,4.0
7.0,25.75,0.05,14457.0,0.0,1339.0,0,0,510.0,4.0
6.67,17.76,0.02,5976.0,0.0,470.0,0,0,369.0,8.0
3.75,17.77,0.0,5815.0,0.0,808.0,0,0,282.0,8.0
1.0,17.76,0.01,4612.0,0.0,0.0,0,0,154.0,8.0
0.38,17.77,0.02,3346.0,0.0,0.0,0,0,217.0,8.0
0.43,17.77,0.06,4746.0,0.0,0.0,0,0,245.0,8.0
0.5,17.76,0.08,7111.0,0.0,223.0,0,0,389.0,7.0
3.17,25.98,0.02,6464.0,0.0,141.0,0,0,309.0,2.0
2.0,25.98,0.03,10643.0,0.0,539.0,0,0,342.0,3.0
3.67,25.98,0.08,15007.0,0.0,1640.0,0,0,537.0,2.0
21.0,25.98,0.1,17566.0,0.0,17500.0,0,0,540.0,3.0
0.82,25.98,0.05,11286.0,0.0,0.0,0,0,277.0,3.0
1.33,25.98,0.02,8969.0,0.0,0.0,0,0,291.0,3.0
1.5,25.98,0.07,16471.0,0.0,0.0,0,0,403.0,3.0
0.43,25.98,0.02,4885.0,0.0,0.0,0,0,230.0,2.0
0.67,27.82,0.05,5763.0,0.0,0.0,0,0,305.0,4.0
0.5,27.81,0.0,5071.0,0.0,0.0,0,0,241.0,5.0
4.0,27.82,0.01,9169.0,0.0,191.0,0,0,415.0,4.0
30.0,27.82,0.12,26001.0,0.0,3931.0,0,0,882.0,5.0
5.75,22.98,0.01,10209.0,0.0,1172.0,0,0,347.0,5.0
6.25,22.98,0.08,10278.0,0.0,2779.0,0,0,553.0,6.0
10.0,22.98,0.08,16606.0,0.0,1255.0,0,0,467.0,5.0
8.33,22.98,0.08,20381.0,0.0,9475.0,0,0,569.0,5.0
3.14,22.98,0.01,7300.0,0.0,21.0,0,0,277.0,5.0
2.25,22.98,0.07,11009.0,0.0,304.0,0,0,470.0,6.0
0.7,22.98,0.01,6916.0,0.0,0.0,0,0,184.0,6.0
0.9,22.98,0.06,14396.0,0.0,15.0,0,0,383.0,5.0
1.11,22.98,0.01,6594.0,0.0,0.0,0,0,212.0,5.0
1.62,22.98,0.07,13885.0,0.0,0.0,0,0,359.0,6.0
2.0,29.31,0.1,8409.0,0.0,1626.0,0,0,608.0,4.0
1.62,29.31,0.09,14008.0,0.0,0.0,0,0,423.0,4.0
3.25,25.35,0.01,7443.0,0.0,202.0,0,0,406.0,6.0
5.0,25.35,0.07,20905.0,0.0,18746.0,0,0,757.0,6.0
0.75,25.35,0.01,14407.0,0.0,0.0,0,0,390.0,6.0
0.5,25.35,0.09,11972.0,0.0,299.0,0,0,430.0,6.0
0.38,25.34,0.01,5512.0,0.0,0.0,0,0,202.0,6.0
0.75,25.35,0.08,9126.0,0.0,65.0,0,0,454.0,5.0
7.67,26.13,0.03,9956.0,13.0,648.0,1.0,0.66,338.0,4.0
4.25,26.13,0.07,18154.0,0.0,6134.0,3.0,0.49,527.0,4.0
0.33,26.13,0.09,5113.0,1.0,0.0,1.0,0.2,358.0,4.0
0.75,26.13,0.02,6263.0,6.0,0.0,3.0,0.6,240.0,4.0
0.56,26.13,0.01,2758.0,11.0,0.0,2.0,0.4,256.0,3.0
0.67,26.13,0.04,11786.0,5.0,0.0,2.0,0.6,299.0,4.0
0.75,26.13,0.05,7113.0,0.0,0.0,1.0,0.6,355.0,4.0
1.27,28.25,0.01,8872.0,0.0,684.0,0,0,234.0,6.0
1.62,28.25,0.1,23128.0,0.0,1058.0,0,0,414.0,6.0
1.71,28.25,0.01,9326.0,0.0,76.0,0,0,226.0,6.0
13.0,28.25,0.12,33133.0,0.0,11209.0,0,0,614.0,6.0
4.83,28.25,0.01,12363.0,0.0,489.0,0,0,406.0,6.0
3.71,28.25,0.01,13182.0,0.0,539.0,0,0,297.0,6.0
3.0,27.9,0.05,9973.0,0.0,1510.0,0,0,362.0,2.0
10.5,27.9,0.01,9536.0,0.0,674.0,0,0,439.0,2.0
0.62,27.9,0.02,5346.0,0.0,158.0,0,0,199.0,2.0
7.0,27.85,0.06,36910.0,0.0,4476.0,0,0,942.0,2.0
2.5,27.85,0.0,15798.0,0.0,399.0,0,0,432.0,2.0
0.56,27.85,0.02,2342.0,0.0,0.0,0,0,133.0,1.0
3.0,23.58,0.08,8258.0,0.0,5408.0,0,0,467.0,3.0
4.5,23.58,0.06,9683.0,0.0,2686.0,0,0,468.0,3.0
3.67,23.58,0.09,14468.0,0.0,3724.0,0,0,546.0,3.0
4.33,23.58,0.01,14722.0,0.0,605.0,0,0,458.0,4.0
1.5,23.58,0.01,13541.0,0.0,0.0,0,0,288.0,4.0
1.11,23.58,0.04,6100.0,0.0,0.0,0,0,320.0,3.0
1.11,23.58,0.07,11267.0,0.0,19.0,0,0,436.0,4.0
0.82,28.85,0.11,13224.0,0.0,114.0,0,0,532.0,5.0
1.18,28.85,0.02,12612.0,0.0,0.0,0,0,331.0,5.0
3.0,28.85,0.1,10636.0,0.0,2538.0,0,0,585.0,6.0
0.82,28.85,0.08,9514.0,0.0,26.0,0,0,457.0,5.0
5.4,28.85,0.09,22779.0,0.0,3659.0,0,0,796.0,6.0
3.2,28.85,0.1,13141.0,0.0,3749.0,0,0,609.0,5.0
